city,year,month,trip_count,station_count,average_duration
boston,2018,1,40932,165,14.42997573210838
boston,2018,2,62817,164,16.36474998806046
boston,2018,3,62985,164,14.810965309200563
boston,2018,4,98194,195,17.85704897108441
boston,2018,5,178865,194,26.044651273306734
boston,2018,6,205359,194,28.708528885187725
boston,2018,7,242916,206,32.46748251796201
boston,2018,8,236076,228,31.851801820883345
boston,2018,9,236182,251,24.515444798220216
boston,2018,10,200100,302,33.609454522738275
boston,2018,11,121419,267,20.590662224747785
boston,2018,12,81961,235,22.347592350833846
boston,2019,1,69872,225,19.63004303106645
boston,2019,2,80466,222,20.887439415405414
boston,2019,3,102369,230,25.005317364957637
boston,2019,4,166694,268,24.21059996160568
boston,2019,5,223084,270,26.33461364329048
boston,2019,6,274083,280,55.18357948747893
boston,2019,7,317028,302,58.60595047335379
boston,2019,8,337519,320,64.45813870231534
boston,2019,9,363185,328,23.444496239291176
boston,2019,10,305504,334,20.249889799587763
boston,2019,11,190759,330,20.454301588216797
boston,2019,12,92208,283,22.01431202643307
boston,2020,1,128598,271,17.712232434926452
boston,2020,2,133235,273,18.380932062395924
boston,2020,3,107350,284,26.606034156186546
boston,2020,4,46793,326,46.642394873876974
boston,2020,5,124879,329,46.06158654911338
boston,2020,6,191843,334,38.829063435552
boston,2020,7,259726,340,38.67533220907127
boston,2020,8,289033,344,31.06106424987223
boston,2020,9,307853,347,31.326412335324093
boston,2020,10,248424,366,24.4049474554252
boston,2020,11,161712,366,24.598513818805753
boston,2020,12,74002,321,22.084930587461386
boston,2021,1,71805,309,20.337018777708455
boston,2021,2,60447,304,22.00534600559165
boston,2021,3,138952,328,26.763150343451098
boston,2021,4,187816,367,28.40245914441093
boston,2021,5,270893,375,32.473130227309944
boston,2021,6,311969,392,35.20120033293938
boston,2021,7,309403,399,33.62799789702631
boston,2021,8,357338,408,30.348221431810067
boston,2021,9,432254,413,24.81894005993393
sf,2018,1,94802,273,14.52396749716974
sf,2018,2,106718,275,14.652686988136956
sf,2018,3,111382,288,14.519233957611293
sf,2018,4,131169,291,14.773770098117692
sf,2018,5,179125,292,14.256755989764777
sf,2018,6,195968,300,15.137490814826965
sf,2018,7,199222,304,15.136837882696913
sf,2018,8,192162,307,14.525868971666286
sf,2018,9,186217,314,14.677141453250645
sf,2018,10,201458,319,13.428135806636194
sf,2018,11,134135,320,12.642677774878216
sf,2018,12,131363,321,12.852905054442074
sf,2019,1,192082,325,12.524250580481127
sf,2019,2,183412,330,12.109621235251849
sf,2019,3,256299,347,13.472898775778985
sf,2019,4,239111,358,13.386155871819403
sf,2019,5,182163,367,13.21267335664583
sf,2019,6,191772,373,14.038569238470506
sf,2019,7,258102,373,14.036914023654521
sf,2019,8,210563,377,13.900211575632932
sf,2019,9,217986,390,14.081015676848063
sf,2019,10,239895,406,13.78192876049928
sf,2019,11,185496,421,13.384938129842944
sf,2019,12,150102,421,13.18580820597566
sf,2020,1,295854,429,13.01621835995666
sf,2020,2,424789,436,13.357320811037598
sf,2020,3,182632,443,14.357950687721882
sf,2020,4,86151,666,35.61020436984672
sf,2020,5,138522,431,35.51106166048178
sf,2020,6,158410,426,31.544743492624175
sf,2020,7,155248,425,33.44516043148144
sf,2020,8,152690,449,35.98297945728801
sf,2020,9,144348,453,30.457924021577764
sf,2020,10,167541,460,25.666558931843618
sf,2020,11,133020,460,23.65877186388009
sf,2020,12,106422,451,14.376045366559625
sf,2021,1,102363,455,19.734546336729792
sf,2021,2,111073,456,20.177797334485856
sf,2021,3,131960,458,20.31579291704555
sf,2021,4,146002,461,19.41617557750355
sf,2021,5,169642,463,21.545811571820103
sf,2021,6,198493,465,20.784170390559133
sf,2021,7,213922,463,20.88983944303669
sf,2021,8,207023,465,17.93594882372157
sf,2021,9,212512,463,18.15904105807363
nyc,2018,1,731671,816,13.703746857080354
nyc,2018,2,858218,816,14.516083908750053
nyc,2018,3,993781,819,14.609058987845481
nyc,2018,4,1331177,824,16.100881037357723
nyc,2018,5,1859166,817,18.61241251005321
nyc,2018,6,1994040,815,20.044633875615713
nyc,2018,7,1955893,818,17.793842369359034
nyc,2018,8,2021609,822,16.75998705321696
nyc,2018,9,1916906,820,16.057204509071806
nyc,2018,10,1917795,817,14.905296447221833
nyc,2018,11,1285265,813,14.088700177265718
nyc,2018,12,1036710,814,13.640997723567564
nyc,2019,1,986963,819,12.829722357034864
nyc,2019,2,962309,819,13.35710205003467
nyc,2019,3,1351566,821,14.621323992563136
nyc,2019,4,1799150,835,17.558265958924743
nyc,2019,5,1960698,845,17.720148232924913
nyc,2019,6,2164800,844,18.456453213539113
nyc,2019,7,2224810,840,17.191152967370265
nyc,2019,8,2392935,847,17.420513671843878
nyc,2019,9,2494144,856,16.81067176420701
nyc,2019,10,2134826,888,15.13747889367417
nyc,2019,11,1509505,920,13.91376881825487
nyc,2019,12,974938,932,13.757807197312177
nyc,2020,1,1266616,944,13.002050029369595
nyc,2020,2,1169792,941,13.168232856781405
nyc,2020,3,1086176,940,19.416349084616986
nyc,2020,4,692030,938,26.93454852631655
nyc,2020,5,1512967,974,27.431741163774362
nyc,2020,6,1919194,1009,27.537323532691442
nyc,2020,7,2144488,1041,26.54210028221093
nyc,2020,8,2372781,1090,23.43058204697363
nyc,2020,9,2528607,1138,22.87913446019657
nyc,2020,10,2292406,1195,20.228846657179908
nyc,2020,11,1757979,1203,19.251468580303726
nyc,2020,12,1100623,1225,16.948156332064634
nyc,2021,1,1106970,1272,15.582919214913778
nyc,2021,2,654864,1328,17.036308353083022
nyc,2021,3,1548217,1383,17.858110092663086
nyc,2021,4,2091443,1443,18.857274076638028
nyc,2021,5,2769208,1503,18.706040415405926
nyc,2021,6,3248945,1547,19.14557896486502
nyc,2021,7,3167086,1563,18.08158417022237
nyc,2021,8,3166278,1564,17.41353068702986
nyc,2021,9,3377511,1562,17.663460943083614
